,player,team,games,recTarg,rushCarries,ADP,age,olRank,teamTargets,rushGrade,forcedMissedTackles
0,Jonathan Taylor,IND,17,48,332,1.0,23.0,10,501,90.0,66.0
1,Christian McCaffrey,CAR,7,40,99,2.0,26.0,24,575,69.7,16.0
2,Austin Ekeler,LAC,16,88,206,4.0,27.0,12,658,79.9,37.0
3,Derrick Henry,TEN,8,20,219,5.0,28.0,27,523,74.9,36.0
4,Najee Harris,PIT,17,94,307,8.0,24.0,30,653,71.5,58.0
5,Dalvin Cook,MIN,13,43,250,9.0,27.0,19,577,68.8,47.0
6,Alvin Kamara,NO,13,65,240,10.0,27.0,21,474,65.9,45.0
7,Joe Mixon,CIN,16,47,292,12.0,26.0,8,540,82.1,53.0
8,D'Andre Swift,DET,13,76,151,15.0,23.0,3,554,61.3,17.0
9,Leonard Fournette,TB,14,83,180,18.0,27.0,4,715,80.0,30.0
10,Aaron Jones,GB,15,64,171,21.0,28.0,5,569,83.1,39.0
11,Javonte Williams,DEN,17,51,203,23.0,22.0,16,516,76.0,63.0
12,James Conner,ARZ,15,39,202,25.0,27.0,25,570,73.0,40.0
13,Saquon Barkley,NYG,13,57,162,26.0,25.0,18,561,65.7,20.0
14,Nick Chubb,CLV,14,25,228,28.0,26.0,2,499,80.6,57.0
15,Cam Akers,LA,1,3,5,33.0,23.0,11,602,39.6,10.0
16,Ezekiel Elliott,DAL,17,63,237,38.0,27.0,6,636,76.6,21.0
17,David Montgomery,CHI,13,49,225,40.0,25.0,31,524,67.7,38.0
18,Josh Jacobs,LV,15,64,217,54.0,24.0,29,603,82.8,60.0
19,Clyde Edwards-Helaire,KC,10,22,119,60.0,23.0,9,636,66.5,19.0
20,Elijah Mitchell,SF,11,20,207,62.0,24.0,14,496,75.5,42.0
21,Devin Singletary,BUF,17,49,188,66.0,25.0,20,622,82.4,51.0
22,Miles Sanders,PHI,12,32,137,76.0,25.0,1,466,71.4,21.0
23,Kareem Hunt,CLV,8,25,78,81.0,27.0,2,499,74.3,21.0
24,Antonio Gibson,WAS,16,53,258,84.0,24.0,15,534,65.6,39.0
25,Damien Harris,NE,15,20,202,89.0,25.0,7,523,84.7,39.0
26,Cordarrelle Patterson,ATL,16,63,153,92.0,31.0,28,555,63.7,22.0
27,Rhamondre Stevenson,NE,12,17,133,93.0,24.0,7,523,81.4,32.0
28,Chase Edmonds,MIA,12,51,116,94.0,26.0,23,597,71.7,16.0
29,Tony Pollard,DAL,15,44,130,95.0,25.0,6,636,90.3,27.0
30,A.J. Dillon,GB,17,37,187,97.0,24.0,5,569,89.7,31.0
31,Rashaad Penny,SEA,10,7,119,106.0,26.0,32,473,83.7,27.0
32,Melvin Gordon III,DEN,16,34,203,117.0,29.0,16,516,83.4,45.0
33,James Robinson,JAX,14,44,164,122.0,24.0,26,585,77.1,28.0
34,Michael Carter,NYJ,14,50,147,124.0,23.0,13,579,77.3,39.0
35,Nyheim Hines,IND,17,53,56,131.0,26.0,10,501,71.8,14.0
36,Raheem Mostert,MIA,1,0,2,134.0,30.0,23,597,58.9,0.0
37,Alexander Mattison,MIN,16,38,134,154.0,24.0,19,577,61.5,28.0
38,J.D. McKissic,WAS,11,51,48,163.0,29.0,15,534,63.2,1.0
39,Jamaal Williams,DET,13,28,153,168.0,27.0,3,554,68.4,24.0
40,Kenneth Gainwell,PHI,16,45,68,170.0,23.0,1,466,69.3,13.0
41,Khalil Herbert,CHI,16,16,103,176.0,24.0,31,524,84.4,18.0
42,Mark Ingram II,NO,14,31,160,203.0,32.0,21,474,61.9,24.0
43,Rex Burkhead,HST,16,31,122,216.0,32.0,22,523,60.6,17.0
44,Kenyan Drake,LV,12,36,63,227.0,28.0,29,603,69.7,10.0
