,player,team,games,recTarg,ADP,age,teamTargets,recGrade
0,Cooper Kupp,LA,17,189,3.0,29.0,602,92.6
1,Justin Jefferson,MIN,17,163,6.0,23.0,577,90.1
2,Ja'Marr Chase,CIN,17,123,7.0,22.0,540,84.0
3,Davante Adams,LV,16,166,11.0,29.0,603,92.7
4,Stefon Diggs,BUF,17,158,13.0,29.0,622,82.9
5,Deebo Samuel,SF,16,114,14.0,26.0,496,84.7
6,Tyreek Hill,MIA,17,155,16.0,28.0,597,84.6
7,CeeDee Lamb,DAL,16,116,19.0,23.0,636,84.6
8,Keenan Allen,LAC,16,150,24.0,30.0,658,77.5
9,Mike Evans,TB,16,110,27.0,29.0,715,72.7
10,Tee Higgins,CIN,14,108,30.0,23.0,540,83.8
11,Michael Pittman Jr.,IND,17,124,31.0,25.0,501,79.9
12,A.J. Brown,PHI,13,101,34.0,25.0,466,86.8
13,Terry McLaurin,WAS,17,126,37.0,27.0,534,78.3
14,Mike Williams,LAC,16,122,39.0,28.0,658,77.6
15,Diontae Johnson,PIT,16,166,43.0,26.0,653,74.6
16,Jaylen Waddle,MIA,16,138,44.0,24.0,597,78.5
17,Brandin Cooks,HST,16,130,49.0,29.0,523,77.3
18,Jerry Jeudy,DEN,10,54,50.0,23.0,516,70.5
19,Courtland Sutton,DEN,17,95,51.0,27.0,516,71.0
20,Marquise Brown,ARZ,16,139,53.0,25.0,570,68.7
21,Amon-Ra St. Brown,DET,17,115,58.0,23.0,554,79.4
22,Chris Godwin,TB,14,124,59.0,26.0,715,79.4
23,Gabe Davis,BUF,16,61,61.0,23.0,622,72.1
24,Darnell Mooney,CHI,17,134,63.0,25.0,524,74.9
25,JuJu Smith-Schuster,KC,5,25,65.0,26.0,636,60.8
26,Allen Robinson II,CHI,12,66,69.0,29.0,524,67.0
27,Amari Cooper,CLV,15,99,70.0,28.0,499,73.9
28,Hunter Renfrow,LV,17,124,72.0,26.0,603,82.3
29,Adam Thielen,MIN,13,86,73.0,32.0,577,73.5
30,Christian Kirk,JAX,17,101,82.0,26.0,585,72.7
31,Rashod Bateman,BLT,12,65,83.0,23.0,592,65.2
32,DeVonta Smith,PHI,17,101,85.0,24.0,466,76.8
33,Tyler Lockett,SEA,16,103,90.0,30.0,473,82.1
34,Elijah Moore,NYJ,11,74,91.0,22.0,579,73.8
35,DeAndre Hopkins,ARZ,10,59,98.0,30.0,570,81.1
36,Allen Lazard,LA,15,59,99.0,27.0,602,64.5
37,Brandon Aiyuk,SF,17,83,103.0,24.0,496,76.0
38,Robert Woods,TEN,9,66,110.0,30.0,523,72.1
39,Chase Claypool,PIT,15,103,111.0,24.0,653,69.1
40,Kadarius Toney,NYG,10,53,112.0,23.0,561,74.4
41,Marquez Valdes-Scantling,KC,11,49,123.0,28.0,636,64.6
42,Tyler Boyd,CIN,16,88,126.0,28.0,540,72.2
43,Jakobi Meyers,NE,17,121,133.0,26.0,523,74.9
44,Russell Gage,TB,14,93,139.0,26.0,715,76.5
45,Michael Gallup,DAL,9,58,140.0,26.0,636,73.1
46,Jarvis Landry,CLV,12,79,148.0,30.0,499,68.0
47,Marvin Jones Jr.,JAX,17,114,159.0,32.0,585,70.4
48,Julio Jones,TEN,10,46,160.0,33.0,523,74.9
49,DeVante Parker,MIA,10,73,167.0,29.0,597,73.2
50,Robbie Anderson,CAR,17,105,169.0,29.0,575,59.3
51,Mecole Hardman,KC,17,80,182.0,24.0,636,69.4
52,Kenny Golladay,NYG,14,75,183.0,29.0,561,68.2
53,Isaiah McKenzie,BUF,15,26,200.0,27.0,622,73.1
54,Rondale Moore,ARZ,14,64,202.0,22.0,570,70.7
55,Nico Collins,HST,14,59,209.0,23.0,523,65.1
56,Odell Beckham Jr.,LA,14,79,212.0,,602,68.3
57,Sammy Watkins,BLT,13,45,226.0,29.0,592,64.6
