"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"ARZ","359","63.0","103","18.1","108","18.9","570"
"ATL","251","45.2","146","26.3","158","28.5","555"
"BLT","337","56.9","83","14.0","172","29.1","592"
"BUF","443","71.2","96","15.4","83","13.3","622"
"CAR","355","61.7","140","24.3","80","13.9","575"
"CHI","306","58.4","91","17.4","127","24.2","524"
"CIN","359","66.5","98","18.1","83","15.4","540"
"CLV","253","50.7","104","20.8","142","28.5","499"
"DAL","388","61.0","118","18.6","130","20.4","636"
"DEN","281","54.5","93","18.0","142","27.5","516"
"DET","312","56.3","129","23.3","113","20.4","554"
"GB","364","64.0","106","18.6","99","17.4","569"
"HOU","319","61.0","104","19.9","100","19.1","523"
"IND","285","56.9","113","22.6","103","20.6","501"
"JAX","382","65.3","94","16.1","109","18.6","585"
"KC","362","56.9","112","17.6","162","25.5","636"
"LV","317","52.6","145","24.0","141","23.4","603"
"LAC","390","59.3","131","19.9","137","20.8","658"
"LA","432","71.8","76","12.6","94","15.6","602"
"MIA","327","54.8","96","16.1","174","29.1","597"
"MIN","365","63.3","115","19.9","97","16.8","577"
"NE","293","56.0","110","21.0","120","22.9","523"
"NO","248","52.3","134","28.3","92","19.4","474"
"NYG","324","57.8","116","20.7","121","21.6","561"
"NYJ","372","64.2","130","22.5","77","13.3","579"
"PHI","239","51.3","106","22.7","121","26.0","466"
"PIT","419","64.2","109","16.7","125","19.1","653"
"SF","292","58.9","99","20.0","105","21.2","496"
"SEA","309","65.3","67","14.2","97","20.5","473"
"TB","409","57.2","138","19.3","168","23.5","715"
"TEN","311","59.5","104","19.9","108","20.7","523"
"WAS","307","57.5","128","24.0","99","18.5","534"
