,player,team,ADP,age
0,Christian McCaffrey,CAR,2.0,26.0
1,Alvin Kamara,NO,10.0,27.0
2,D'Andre Swift,DET,15.0,23.0
20,Josh Allen,BUF,22.0,26.0
3,Javonte Williams,DEN,23.0,22.0
4,Saquon Barkley,NYG,26.0,25.0
5,Nick Chubb,CLV,28.0,26.0
21,Patrick Mahomes II,KC,29.0,27.0
14,Tee Higgins,CIN,30.0,23.0
15,Michael Pittman Jr.,IND,31.0,25.0
16,A.J. Brown,PHI,34.0,25.0
22,Justin Herbert,LAC,36.0,24.0
6,David Montgomery,CHI,40.0,25.0
23,Lamar Jackson,BLT,42.0,25.0
17,Jaylen Waddle,MIA,44.0,24.0
7,Josh Jacobs,LV,54.0,24.0
24,Jalen Hurts,PHI,56.0,24.0
18,Amon-Ra St. Brown,DET,58.0,23.0
25,Joe Burrow,CIN,74.0,26.0
8,Miles Sanders,PHI,76.0,25.0
19,DeVonta Smith,PHI,85.0,24.0
9,Damien Harris,NE,89.0,25.0
10,Rhamondre Stevenson,NE,93.0,24.0
11,Tony Pollard,DAL,95.0,25.0
12,A.J. Dillon,GB,97.0,24.0
26,Trey Lance,SF,104.0,22.0
13,Rashaad Penny,SEA,106.0,26.0
27,Justin Fields,CHI,149.0,23.0
