"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","1","1","","","","1","1.0"
"2","Christian McCaffrey","SF","9","RB2","2","2","","","","2","2.0"
"3","Austin Ekeler","LAC","8","RB3","4","3","","","","4","3.8"
"4","Cooper Kupp","LAR","7","WR1","3","5","","","","5","4.0"
"5","Derrick Henry","TEN","6","RB4","5","8","","","","3","5.3"
"6","Justin Jefferson","MIN","7","WR2","6","4","","","","6","5.5"
"7","Dalvin Cook","MIN","7","RB5","9","7","","","","7","7.5"
"8","Najee Harris","PIT","9","RB6","8","6","","","","8","8.0"
"9","Ja'Marr Chase","CIN","10","WR3","7","9","","","","9","8.3"
"10","Joe Mixon","CIN","10","RB7","12","10","","","","10","10.3"
"11","Davante Adams","LV","6","WR4","11","15","","","","12","12.3"
"12","Stefon Diggs","BUF","7","WR5","13","14","","","","11","12.5"
"13","Alvin Kamara","NO","14","RB8","10","12","","","","15","13.3"
"14","Travis Kelce","KC","8","TE1","17","17","","","","13","15.0"
"15","D'Andre Swift","DET","6","RB9","15","11","","","","14","15.5"
"16","Deebo Samuel","SF","9","WR6","14","19","","","","21","17.0"
"17","Aaron Jones","GB","14","RB10","21","22","","","","18","19.5"
"18","CeeDee Lamb","DAL","9","WR7","19","21","","","","17","19.5"
"19","Tyreek Hill","MIA","11","WR8","16","23","","","","20","19.8"
"20","Nick Chubb","CLE","9","RB11","28","18","","","","16","20.0"
"21","Saquon Barkley","NYG","9","RB12","26","13","","","","19","20.3"
"22","Josh Allen","BUF","7","QB1","22","24","","","","22","20.8"
"23","Mark Andrews","BAL","10","TE2","20","25","","","","23","21.8"
"24","Leonard Fournette","TB","11","RB13","18","20","","","","25","22.0"
"25","Javonte Williams","DEN","9 ","RB14","23","16","","","","24","22.8"
"26","Mike Evans","TB","11","WR9","27","28","","","","26","26.8"
"27","Keenan Allen","LAC","8","WR10","24","33","","","","27","28.3"
"28","James Conner","ARI","13","RB15","25","26","","","","30","29.3"
"29","Patrick Mahomes II","KC","8","QB2","29","34","","","","32","29.8"
"30","Ezekiel Elliott","DAL","9","RB16","38","27","","","","29","30.3"
"31","A.J. Brown","PHI","7","WR11","34","29","","","","28","30.8"
"32","Kyle Pitts","ATL","14","TE3","35","32","","","","31","32.8"
"33","Michael Pittman Jr.","IND","14","WR12","31","30","","","","35","33.5"
"34","Tee Higgins","CIN","10","WR13","30","37","","","","33","33.8"
"35","Justin Herbert","LAC","8","QB3","36","38","","","","34","34.5"
"36","David Montgomery","CHI","14","RB17","40","35","","","","40","36.5"
"37","Cam Akers","LAR","7","RB18","33","36","","","","37","39.8"
"38","George Kittle","SF","9","TE4","41","48","","","","36","39.8"
"39","Travis Etienne Jr.","JAC","11","RB19","45","31","","","","39","40.5"
"40","Terry McLaurin","WAS","14","WR14","37","47","","","","38","41.0"
"41","Lamar Jackson","BAL","10","QB4","42","52","","","","43","43.5"
"42","DJ Moore","CAR","13","WR15","32","41","","","","42","43.8"
"43","Diontae Johnson","PIT","9","WR16","43","46","","","","45","43.8"
"44","Darren Waller","LV","6","TE5","47","51","","","","41","44.8"
"45","Mike Williams","LAC","8","WR17","39","44","","","","50","46.0"
"46","Jaylen Waddle","MIA","11","WR18","44","57","","","","44","47.3"
"47","DK Metcalf","SEA","11","WR19","46","60","","","","48","48.3"
"48","Josh Jacobs","LV","6","RB20","54","50","","","","49","49.5"
"49","Elijah Mitchell","SF","9","RB21","62","40","","","","58","52.0"
"50","J.K. Dobbins","BAL","10","RB22","55","49","","","","54","52.0"
"51","Breece Hall","NYJ","10 ","RB23","48","45","","","","46","52.3"
"52","Kyler Murray","ARI","13 ","QB5","52","67","","","","53","53.8"
"53","Jalen Hurts","PHI","7","QB6","56","54","","","","62","55.3"
"54","Brandin Cooks","HOU","6","WR20","49","59","","","","61","56.0"
