"Ovr","Name","Team","FIN_W1","FIN_W2","FIN_W3","FIN_W4","FIN_W5","FIN_W6","FIN_W7","FIN_W8","FIN_W9","FIN_W10","FIN_W11","FIN_W12","FIN_W13","FIN_W14","FIN_W15","FIN_W16","FIN_W17","FIN_W18"
"165","Elijah Mitchell","SF","16.4","7.3","","","8.2","","16.7","19.7","12.9","9.1","","27.8","17.4","","","","21","8.5"
"50.1","Chris Carson","SEA","14.7","15.1","16.2","4.1","","","","","","","","","","","","","",""
"217.2","Nick Chubb","CLV","24","16.8","8.4","11.5","24","","","7.9","30.3","","22.4","5.9","","9.5","16.3","27.4","5.8","7"
"345.8","Austin Ekeler","LAC","11.7","20.5","22.7","29.5","34.9","9.5","","24.4","11.2","14.9","41.5","21.9","21.4","16.4","18.2","","20.2","26.9"
"9.2","Johnny Stanton","CLV","","","","","","1.6","7.6","","","0","","","","","","","",""
"0","Jordan Wilkins","TEN","","","","0","","","","","","","","","","","","","",""
"0","Jeffery Simmons","TEN","","","","","","","","","","","","","","","","","","0"
"5.1","Patrick Laird","MIA","","","","","","","","2","0","1.2","1.9","0","0","","","","",""
"117.2","Miles Sanders","PHI","15.3","6.9","8.5","7.7","10.1","8.6","3.7","","","","9.4","7.4","17.2","","16.6","5.8","",""
"74.7","Dontrell Hilliard","TEN","","","","","","","","","","","16.2","20.3","","1.3","9.9","3.4","16.8","6.8"
"9.9","Andy Janovich","CLV","0","6","0","0","0","","","","0","0","0","","","1.3","0","2.6","0","0"
"103.6","Latavius Murray","BLT","8.8","9.6","2.8","11.9","5","13.6","","","","","5.3","1.4","5.5","6.1","6.1","3.4","3.1","21"
"34.6","Royce Freeman","HST","","0","3.5","1.2","1.8","0.3","2.9","2.5","","","","","3.1","12.6","0.8","3.4","2.5","0"
"0","Khyiris Tonga","CHI","","","","","","","","","","","","","","","","","0",""
"36.6","Ke'Shawn Vaughn","TB","","","","","","","2.7","","","","0.4","","","","1.9","13","6.5","12.1"
"7.7","Mike Boone","DEN","","","","","","1.3","","0","","","","","6.4","","","","0",""
"60.7","Damien Williams","CHI","8","2.4","0","15","16.4","","1.8","-0.3","","","","","","2.7","0","2.4","0","12.3"
"127.9","Alexander Mattison","MIN","1.6","3.8","23.1","2","28.3","1","","2","1.3","5","0.5","10.8","21.4","2.7","","16","5.3","3.1"
"156.4","Michael Carter","NYJ","3","10.8","4.9","10.4","14.8","","18.4","32.2","9.6","18.2","7.5","","","","3","14.4","7.3","1.9"
"0","Leki Fotu","ARZ","0","","","","","","","","","","","","","","","","",""
"0","Vita Vea","TB","0","0","","","","","","","","","","","","","","","",""
"51.5","Tevin Coleman","NYJ","2.4","2.4","","5.1","1.1","","","","","5.3","2.8","9","10.7","","5","7.1","","0.6"
"6.4","Kalen Ballage","PIT","","","","0","0","1.5","","-0.3","1.2","0","0.3","3.7","","","","","","0"
"28","Eno Benjamin","ARZ","","","","","","","0.7","","9.9","2.2","3","","2.3","0","","","0.3","9.6"
"55.8","Travis Homer","SEA","0","3.4","7.8","0.5","2.8","6.4","1.4","2.2","","5.5","0.4","","19","","","0","2.7","3.7"
"210.9","D'Andre Swift","DET","24.4","11.8","23.7","8.9","22.4","17.7","28.4","10.1","","16.5","22.6","3.9","","","","","5.9","14.6"
"22.1","Tony Jones Jr.","NO","6.3","0.7","4.2","1.5","","","","","","","0.2","2.7","","3.9","","0.6","-0.2","2.2"
"100.6","Boston Scott","PHI","","","2.5","","","","9.9","18","4","12.5","3.8","15.2","0","","","10.1","24.6",""
"-0.1","Nate McCrary","BLT","","","","","","","","","","","","","-0.1","","","","",""
"1.8","Ryan Nall","CHI","","","","","0","0","1.4","0.4","0","","","","","","","","0",""
"156.6","Tony Pollard","DAL","8.3","23","7.5","6.7","14.3","9.3","","3.7","5.3","15.8","9","10.8","15.4","","11.7","7","8.8",""
"5.5","Gabe Nabers","LAC","0.2","0","3.1","0","0","1.6","","","","","","","","0","0.4","","0.2",""
"122.1","Brandon Bolden","NE","0.5","","5.2","11.1","7.1","1.2","19.9","2.6","10.1","10","3.6","9.4","4.5","","7.4","4.4","4.5","20.6"
"6.5","Trayveon Williams","CIN","","","","","","1.3","","","","","","","","","","","","5.2"
"0","Kenjon Barner","TB","","","","","","","","","","","","","","","","","","0"
"2","Gary Brightwell","NYG","1.6","","0.4","","","","","","","","0","0","","","","","",""
"0","Darian Thompson","DAL","0","","","","","","","","","","","","","","","","",""
"9.8","Rodney Smith","CAR","","","","9.8","0","","","","","","","","","","","","",""
"8.3","Jakob Johnson","NE","0","0","0","0","0","0","5.2","1.2","0","0","0","0","0","","0","1.9","0","0"
"163.4","Darrell Henderson","LA","15.7","17.2","","16.6","16.9","24.7","9.4","22.3","8.8","8.1","","17.3","","","4.7","1.7","",""
"214.1","Damien Harris","NE","13.7","13.4","3.1","4.6","11.8","17.8","25.3","14","10.3","","7.5","12.2","17.1","","","28.3","17.7","17.3"
"70.8","Alex Collins","SEA","","2.5","0.8","15.8","9.2","16.8","5.4","4.4","","5.9","3.6","3.7","","2.7","","","",""
"28.3","Trey Sermon","SF","","0.8","11.4","8.9","0.7","","","","","","6.5","","","","","","",""
"1.1","Mekhi Sargent","JAX","0.2","","0.2","","","","","","","","","","0.5","","","","","0.2"
"231","Aaron Jones","GB","4.2","41.5","17.6","12.9","14.9","21","8.9","24","5.3","12.6","","2.3","","21.5","15","13.7","15.6",""
"36.1","Le'Veon Bell","TB","","","","1.1","","7.8","1.4","","10.8","0.1","","","","","","-0.1","6.5","8.5"
"11","Kene Nwangwu","MIN","","","","","","","","","","","","0.7","2.4","","3.3","3.3","","0.4"
"4.2","Scottie Phillips","HST","","","","","","","","4","0.2","","","","","","","","",""
"12.6","Ryquell Armstead","JAX","","","","","","","","","","","","","","","","","4.4","8.2"
"148.3","Sony Michel","LA","0.2","4.6","10.9","1.1","11.5","4.2","0.4","7.6","10.6","5.1","","3.5","21.9","7.9","13.5","20.5","18.9","5.9"
"0","Micah Hyde","BUF","","0","0","0","0","","","","","","","","","","","","",""
"19","Austin Walter","NYJ","","","","","","","","","","","","9.8","3.1","","1.2","","4.9",""
"35.9","Jerick McKinnon","KC","0","2.4","0","0","3.5","2.5","3.7","0","5.6","4.2","","","","","","","0","14"
"0.7","Damarea Crockett","DEN","","","0.7","","","","","","","","","","","0","","","",""
"15.6","Larry Rountree III","LAC","2.7","0.8","0.3","3.1","","","","1.1","0.1","7","0.5","","","","","","",""
"32.9","C.J. Ham","MIN","2.9","0","0.2","0.1","2.5","3","","3.3","3.7","4.3","0","2.6","2.9","0","1.3","3.3","1.1","1.7"
"119.6","Clyde Edwards-Helaire","KC","10.2","4.6","18.9","19.4","3.4","","","","","","15.6","","11.2","19.2","7","10.1","",""
"25.7","Jermar Jefferson","DET","","","","","","","","12.9","","10.1","","0","1.8","0","0.9","","",""
"187.6","A.J. Dillon","GB","3.6","3.6","4.6","10.7","17.9","5.9","1.8","7.8","13","26.8","15.7","20","","7.1","10.5","8.6","22.3","7.7"
"3.8","Darrynton Evans","TEN","","","","","","","3.8","","","","","","","","","","",""
"59.1","Duke Johnson Jr.","MIA","","","","","","","","","","","1.8","","","","25.7","3.9","8.5","19.2"
"0.3","Nathan Cottrell","JAX","","","","","","","","","","","","","","","","0.3","",""
"0","Andrew Beck","DEN","","","0","0","0","0","0","0","0","0","","0","0","0","0","","",""
"0","Minkah Fitzpatrick","PIT","0","","","","0","","","","","","","","0","","0","","",""
"377.1","Jonathan Taylor","IND","17.6","6.3","8.2","20.4","31.9","28.8","20","21.2","34","24.6","53.4","19.7","26.3","","23","10.8","18.4","12.5"
