"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"26","Elijah Mitchell","SF","13","36","","","39","","13","9","20","28","","3","14","","","","9","33"
"79","Chris Carson","SEA","17","16","19","51","","","","","","","","","","","","","",""
"13","Nick Chubb","CLV","5","14","36","28","9","","","37","3","","6","40","","28","9","5","41","42"
"2","Austin Ekeler","LAC","28","6","8","3","1","30","","3","25","19","2","6","8","13","5","","12","2"
"125","Johnny Stanton","CLV","","","","","","56","34","","","77","","","","","","","",""
"168","Jordan Wilkins","TEN","","","","84","","","","","","","","","","","","","",""
"168","Jeffery Simmons","TEN","","","","","","","","","","","","","","","","","","83"
"139","Patrick Laird","MIA","","","","","","","","68","75","67","59","78","71","","","","",""
"46","Miles Sanders","PHI","15","38","35","44","35","33","47","","","","22","35","15","","7","46","",""
"64","Dontrell Hilliard","TEN","","","","","","","","","","","13","8","","62","28","56","19","43"
"122","Andy Janovich","CLV","87","43","82","84","82","","","","75","77","83","","","62","79","65","83","83"
"54","Latavius Murray","BLT","34","27","59","27","50","21","","","","","39","69","38","36","45","56","58","7"
"92","Royce Freeman","HST","","85","54","68","66","69","49","65","","","","","50","20","75","56","63","83"
"168","Khyiris Tonga","CHI","","","","","","","","","","","","","","","","","83",""
"88","Ke'Shawn Vaughn","TB","","","","","","","50","","","","76","","","","68","22","38","24"
"131","Mike Boone","DEN","","","","","","60","","81","","","","","36","","","","83",""
"69","Damien Williams","CHI","40","63","82","21","22","","56","94","","","","","","51","79","69","83","23"
"37","Alexander Mattison","MIN","70","53","7","64","6","67","","68","64","47","73","23","8","51","","13","44","64"
"29","Michael Carter","NYJ","59","24","48","33","24","","7","1","35","13","29","","","","63","17","35","70"
"168","Leki Fotu","ARZ","87","","","","","","","","","","","","","","","","",""
"168","Vita Vea","TB","87","85","","","","","","","","","","","","","","","",""
"76","Tevin Coleman","NYJ","62","63","","49","74","","","","","44","54","31","25","","53","42","","77"
"134","Kalen Ballage","PIT","","","","84","82","58","","94","67","77","78","52","","","","","","83"
"99","Eno Benjamin","ARZ","","","","","","","68","","34","57","50","","56","70","","","77","27"
"75","Travis Homer","SEA","87","57","38","75","61","39","60","66","","42","76","","13","","","89","61","62"
"15","D'Andre Swift","DET","4","20","5","37","10","16","2","30","","16","5","50","","","","","40","18"
"105","Tony Jones Jr.","NO","42","77","52","66","","","","","","","80","59","","46","","83","104","66"
"56","Boston Scott","PHI","","","60","","","","28","12","52","21","45","17","71","","","25","4",""
"191","Nate McCrary","BLT","","","","","","","","","","","","","89","","","","",""
"156","Ryan Nall","CHI","","","","","82","70","60","78","75","","","","","","","","83",""
"28","Tony Pollard","DAL","39","5","39","45","25","31","","57","46","18","25","23","19","","21","43","32",""
"137","Gabe Nabers","LAC","83","85","56","84","82","56","","","","","","","","70","77","","78",""
"41","Brandon Bolden","NE","79","","47","29","42","64","6","63","32","26","46","29","41","","36","48","47","8"
"133","Trayveon Williams","CIN","","","","","","60","","","","","","","","","","","","50"
"168","Kenjon Barner","TB","","","","","","","","","","","","","","","","","","83"
"154","Gary Brightwell","NYG","70","","78","","","","","","","","83","78","","","","","",""
"168","Darian Thompson","DAL","87","","","","","","","","","","","","","","","","",""
"123","Rodney Smith","CAR","","","","34","82","","","","","","","","","","","","",""
"130","Jakob Johnson","NE","87","85","82","84","82","70","43","72","75","77","83","78","71","","79","71","83","83"
"27","Darrell Henderson","LA","14","12","","16","20","5","31","5","37","37","","14","","","55","75","",""
"14","Damien Harris","NE","22","17","56","50","28","15","3","21","31","","29","21","16","","","4","17","15"
"67","Alex Collins","SEA","","62","70","19","37","17","41","52","","41","46","52","","51","","","",""
